ourName,ourCategory,ourSource,matchedDescription,matchedCategory,foodCode,score,tier,coreMismatch,compositeDish,cup,tbsp,tsp,piece
LIGHT MAYONNAISE,,usda,"Mayonnaise, light",Mayonnaise,83204000,100,match,no,no,250,15.6,,
Honey mustard dip,,usda,Honey mustard dip,Mustard and other condiments,75506100,100,match,no,no,,15,,
Mustard,,usda,Mustard,Mustard and other condiments,75506010,100,match,no,no,,15,,
Honey mustard dressing,,usda,Honey mustard dressing,Salad dressings and vegetable oils,83105500,100,match,no,no,250,15.6,,
"Calamari, cooked",,usda,"Calamari, cooked",Shellfish,26213120,100,match,no,no,135,,,
"Chard, cooked",,usda,"Chard, cooked",Other dark green vegetables,72104220,100,match,no,no,150,,,
"Celery, cooked",,usda,"Celery, cooked",Other vegetables and combinations,75215020,100,match,no,no,155,,,
"Edamame, cooked",,usda,"Edamame, cooked","Beans, peas, legumes",41420020,100,match,no,no,160,,,
"Garlic, cooked",,usda,"Garlic, cooked",Mustard and other condiments,75217400,100,match,no,no,,,5,
"Clams, fried",,usda,"Clams, fried",Shellfish,26303140,100,match,no,no,135,,,
"Calamari, fried",,usda,"Calamari, fried",Shellfish,26213140,100,match,no,no,135,,,
Fried eggplant,,usda,Fried eggplant,Fried vegetables,75412010,100,match,no,no,220,,,
Fried cauliflower,,usda,Fried cauliflower,Fried vegetables,75409020,100,match,no,no,85,,,
Fried okra,,usda,Fried okra,Fried vegetables,75414500,100,match,no,no,90,,,8
"Scallops, fried",,usda,"Scallops, fried",Shellfish,26317140,100,match,no,no,135,,,
Fried mushrooms,,usda,Fried mushrooms,Fried vegetables,75414030,100,match,no,no,135,,,
"Oysters, fried",,usda,"Oysters, fried",Shellfish,26315140,100,match,no,no,135,,,
"Shrimp, fried",,usda,"Shrimp, fried",Shellfish,26319140,100,match,no,no,135,,,
"Rice, fried, meatless",,usda,"Rice, fried, meatless",Fried rice and lo/chow mein,58150110,100,match,no,no,166,,,
"Shrimp, baked or broiled",,usda,"Shrimp, baked or broiled",Shellfish,26319120,100,match,no,no,135,,,
"Potato chips, baked, plain",,usda,"Potato chips, baked, plain",Potato chips,71200400,100,match,no,no,25,,,
"Potato chips, baked, flavored",,usda,"Potato chips, baked, flavored",Potato chips,71200410,100,match,no,no,25,,,
Olive oil,,usda,Olive oil,Salad dressings and vegetable oils,82104000,100,match,no,no,224,14,,
Almond butter,,usda,Almond butter,Nuts and seeds,42200500,100,match,no,no,,16,,
"Rice, white, with tomatoes and/or tomato-based sauce, fat added",,usda,"Rice, white, with tomatoes and/or tomato-based sauce, fat added",Rice mixed dishes,58160540,100,match,no,no,209,,,
"Tomatoes, raw",,usda,"Tomatoes, raw",Tomatoes,74101000,100,match,no,no,180,,,
"Milk, reduced fat (2%)",,usda,"Milk, reduced fat (2%)","Milk, reduced fat",11112110,100,match,no,no,244,,,
"Milk, fat free (skim)",,usda,"Milk, fat free (skim)","Milk, nonfat",11113000,100,match,no,no,244,,,
"Milk, low fat (1%)",,usda,"Milk, low fat (1%)","Milk, lowfat",11112210,100,match,no,no,244,,,
"Frozen yogurt, vanilla",,usda,"Frozen yogurt, vanilla",Ice cream and frozen dairy desserts,11460000,100,match,no,no,175,,,
"Frozen yogurts, chocolate",,usda,"Frozen yogurt, chocolate",Ice cream and frozen dairy desserts,11460100,100,match,no,no,175,,,
"Yogurt, low fat milk, plain",,usda,"Yogurt, low fat milk, plain","Yogurt, regular",11411200,100,match,no,no,245,,,
"Watermelon, raw",,usda,"Watermelon, raw",Melons,63149010,100,match,no,no,155,,,
"Cucumber, raw",,usda,"Cucumber, raw",Other vegetables and combinations,75111000,100,match,no,no,120,,,
PASTA SAUCE,,usda,"Pasta with sauce, NFS","Pasta mixed dishes, excludes macaroni and cheese",58146210,100,low-confidence,no,yes,250,,,
"Scallops, grilled",,usda,"Scallops, grilled",Shellfish,26317121,100,match,no,no,135,,,
"Shrimp, grilled",,usda,"Shrimp, grilled",Shellfish,26319123,100,match,no,no,135,,,
"Fish, bass, grilled",,usda,"Fish, bass, grilled",Fish,26141121,100,match,no,no,135,,,
"Fish, haddock, grilled",,usda,"Fish, haddock, grilled",Fish,26117121,100,match,no,no,135,,,
"Fish, flounder, grilled",,usda,"Fish, flounder, grilled",Fish,26115123,100,match,no,no,135,,,
"Fish, cod, grilled",,usda,"Fish, cod, grilled",Fish,26109123,100,match,no,no,135,,,
"Fish, catfish, grilled",,usda,"Fish, catfish, grilled",Fish,26107123,100,match,no,no,135,,,
"Fish, pompano, grilled",,usda,"Fish, pompano, grilled",Fish,26131121,100,match,no,no,135,,,
"Fish, salmon, grilled",,usda,"Fish, salmon, grilled",Fish,26137123,100,match,no,no,135,,,
"Fish, mackerel, grilled",,usda,"Fish, mackerel, grilled",Fish,26121121,100,match,no,no,135,,,
"Fish, perch, grilled",,usda,"Fish, perch, grilled",Fish,26127123,100,match,no,no,135,,,
"Fish, trout, grilled",,usda,"Fish, trout, grilled",Fish,26151123,100,match,no,no,135,,,
"Fish, whiting, grilled",,usda,"Fish, whiting, grilled",Fish,26157123,100,match,no,no,135,,,
"Fish, tilapia, grilled",,usda,"Fish, tilapia, grilled",Fish,26158013,100,match,no,no,135,,,
"Chicken, NS as to part, grilled without sauce, skin eaten",,usda,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten","Chicken, whole pieces",24103050,100,match,no,no,,,,60
"Chicken, NS as to part, grilled without sauce, skin not eaten",,usda,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten","Chicken, whole pieces",24103050,100,match,no,no,,,,60
"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",,usda,"Chicken, NS as to part, grilled without sauce, NS as to skin eaten","Chicken, whole pieces",24103050,100,match,no,no,,,,60
"Lentils, NFS",,usda,"Lentils, NFS","Beans, peas, legumes",41304970,100,match,no,no,185,,,
"Rice, white, with lentils, no added fat",,usda,"Rice, white, with lentils, no added fat",Rice mixed dishes,58160810,100,match,no,no,198,,,
"Chocolate milk, NFS",,usda,"Chocolate milk, NFS","Flavored milk, lowfat",11511000,100,match,no,no,248,,,
"Almond milk, chocolate",,usda,"Almond milk, chocolate",Plant-based milk,11350010,100,match,no,no,244,,,
Chocolate milk drink,,usda,Chocolate milk drink,Milk shakes and other dairy drinks,11560000,100,match,no,no,248,,,
"Chocolate milk, whole",,usda,"Chocolate milk, whole","Flavored milk, whole",11511100,100,match,no,no,248,,,
"Chocolate milk, Nesquik, made with non-dairy milk",,usda,"Chocolate milk, Nesquik, made with non-dairy milk",Plant-based milk,11513385,100,match,no,no,248,,,
"Soy milk, chocolate",,usda,"Soy milk, chocolate",Plant-based milk,11321000,100,match,no,no,244,,,
"Chocolate milk, Nesquik, NS as to type of milk",,usda,"Chocolate milk, Nesquik, NS as to type of milk","Flavored milk, reduced fat",11513380,100,match,no,no,248,,,
"Soy milk, unsweetened",,usda,"Soy milk, unsweetened",Plant-based milk,11320100,100,match,no,no,244,,,
"Applesauce, unsweetened",,usda,"Applesauce, unsweetened",Apples,63101120,100,match,no,no,245,,,
"Pizza, cheese, from school lunch, thin crust",,usda,"Pizza, cheese, from school lunch, thin crust",Pizza,58106235,100,match,no,no,,,,142
"Veggie burger patty, no bun",,usda,"Veggie burger patty, no bun",Soy and meat-alternative products,41811890,100,match,no,no,125,,,
